Property Address,Tree Location,Property Side,Species,Diameter in Inches,Tree Number
"100 NIAGARA ST
Providence, RI
(41.800511175476295, -71.41959627421838)",NIAGARA ST,Front,Ginkgo biloba,3,3
"100 NIAGARA ST
Providence, RI
(41.800511175476295, -71.41959627421838)",NIAGARA ST,Front,Quercus palustris,3,2
"100 NIAGARA ST
Providence, RI
(41.800511175476295, -71.41959627421838)",ATLANTIC AVE,Side,Tilia cordata,3,1
"100 ATLANTIC AVE
Providence, RI
(41.798240097508135, -71.41971743405648)",ATLANTIC AVE,Front,Tilia cordata,3,1
"100 NIAGARA ST
Providence, RI
(41.800511175476295, -71.41959627421838)",LEXINGTON AVE,Side,Tilia cordata,3,1
"100 NIAGARA ST
Providence, RI
(41.800511175476295, -71.41959627421838)",LEXINGTON AVE,Side,Tilia cordata,3,2
"257 NIAGARA ST
Providence, RI
(41.79542667927128, -71.41695635916936)",WARRINGTON ST,Side,Acer rubrum,3,1
"257 NIAGARA ST
Providence, RI
(41.79542667927128, -71.41695635916936)",WARRINGTON ST,Side,Acer rubrum,3,2
"257 NIAGARA ST
Providence, RI
(41.79542667927128, -71.41695635916936)",WARRINGTON ST,Side,Acer rubrum,3,3
"257 NIAGARA ST
Providence, RI
(41.79542667927128, -71.41695635916936)",WARRINGTON ST,Side,Acer rubrum,3,4
"676 PUBLIC ST
Providence, RI
(41.802621424001316, -71.42422038425943)",PUBLIC ST,Front,Prunus cerasifera,3,1
"676 PUBLIC ST
Providence, RI
(41.802621424001316, -71.42422038425943)",PUBLIC ST,Front,Prunus cerasifera,3,2
"100 SACKETT ST
Providence, RI
(41.79477371374255, -71.41643324734503)",NIAGARA ST,Side,Malus spp,3,1
"100 SACKETT ST
Providence, RI
(41.79477371374255, -71.41643324734503)",NIAGARA ST,Side,Malus spp,3,2
"186 SACKETT ST
Providence, RI
(41.79357733271992, -71.42032155234966)",MELROSE ST,Side,Koelrenteria paniculata,3,1
"186 SACKETT ST
Providence, RI
(41.79357733271992, -71.42032155234966)",MELROSE ST,Side,Koelrenteria paniculata,3,2
"31 STANWOOD ST
Providence, RI
(41.80338750451112, -71.42026076512913)",STANWOOD ST,Front,Ginkgo biloba,3,1
"31 STANWOOD ST
Providence, RI
(41.80338750451112, -71.42026076512913)",STANWOOD ST,Front,Ginkgo biloba,3,2
"7 PUBLIC ST
Providence, RI
(41.80852111651448, -71.40267425009719)",PUBLIC ST,Front,Ulmus parvifolia,3,1
"7 PUBLIC ST
Providence, RI
(41.80852111651448, -71.40267425009719)",PUBLIC ST,Front,Ulmus parvifolia,3,2
"19 SUMTER ST
Providence, RI
(41.797610600866975, -71.41484886261651)",SUMTER ST,Front,Ginkgo biloba,3,1
"22 SUMTER ST
Providence, RI
(41.79747317159706, -71.41490473025992)",SUMTER ST,Front,Stump,3,1
"24 SUMTER ST
Providence, RI
(41.797447810720676, -71.41498348245501)",SUMTER ST,Front,Acer ginnala,3,1
"25 SUMTER ST
Providence, RI
(41.79753832235548, -71.41507330641535)",SUMTER ST,Front,Ginkgo biloba,3,1
"28 SUMTER ST
Providence, RI
(41.7973970889679, -71.41514098684522)",SUMTER ST,Front,Prunus cerasifera,3,1
"35 SUMTER ST
Providence, RI
(41.79741785816966, -71.41544737941344)",SUMTER ST,Front,Gleditsia triacanthos,3,1
"36 SUMTER ST
Providence, RI
(41.797295645425585, -71.41545599573979)",SUMTER ST,Front,Prunus cerasifera,3,1
"45 SUMTER ST
Providence, RI
(41.79729304346375, -71.41584825183858)",SUMTER ST,Front,Ulmus spp.,3,1
"51 SUMTER ST
Providence, RI
(41.7972285845573, -71.4160712162527)",SUMTER ST,Front,Ulmus spp.,3,1
"54 SUMTER ST
Providence, RI
(41.797088540478114, -71.41614884677321)",SUMTER ST,Front,Syringa reticulata,3,1
"60 SUMTER ST
Providence, RI
(41.79702665992792, -71.41636289261076)",SUMTER ST,Front,Syringa reticulata,3,1
"61 SUMTER ST
Providence, RI
(41.79712115303343, -71.41644282365492)",SUMTER ST,Front,Gleditsia triacanthos,3,1
"66 SUMTER ST
Providence, RI
(41.796964779377724, -71.4165769384483)",SUMTER ST,Front,Malus spp,3,1
"76 SUMTER ST
Providence, RI
(41.7968616451274, -71.41693368151088)",SUMTER ST,Front,Malus spp,3,1
"79 SUMTER ST
Providence, RI
(41.79692777631407, -71.41711171689725)",SUMTER ST,Front,Aesculus hippocastanum,3,1
"90 SUMTER ST
Providence, RI
(41.796717257176944, -71.4174331217985)",SUMTER ST,Front,Syringa reticulata,3,1
"99 SUMTER ST
Providence, RI
(41.796689620920205, -71.41790136644346)",SUMTER ST,Front,Ulmus parvifolia,3,1
"109 SUMTER ST
Providence, RI
(41.796566492017256, -71.41828177962122)",SUMTER ST,Front,Ulmus parvifolia,3,1
"110 SUMTER ST
Providence, RI
(41.796465916354926, -71.41822320875588)",SUMTER ST,Front,Malus spp,3,1
"113 SUMTER ST
Providence, RI
(41.796517240451756, -71.41843394490569)",SUMTER ST,Front,Ginkgo biloba,3,1
"114 SUMTER ST
Providence, RI
(41.796416664789426, -71.41837537404034)",SUMTER ST,Front,Malus spp,3,1
"114 SUMTER ST
Providence, RI
(41.796416664789426, -71.41837537404034)",SUMTER ST,Front,Malus spp,3,2
"117 SUMTER ST
Providence, RI
(41.796467988886256, -71.41858611019013)",SUMTER ST,Front,Platanus x acerifolia,3,1
"122 SUMTER ST
Providence, RI
(41.79631816165842, -71.41867970460925)",SUMTER ST,Front,Malus spp,3,1
"122 SUMTER ST
Providence, RI
(41.79631816165842, -71.41867970460925)",SUMTER ST,Front,Malus spp,3,2
"131 SUMTER ST
Providence, RI
(41.79629560839619, -71.41911868871912)",SUMTER ST,Front,Tilia cordata,3,1
"140 SUMTER ST
Providence, RI
(41.79609652960286, -71.41936444842268)",SUMTER ST,Front,Ginkgo biloba,3,1
"140 SUMTER ST
Providence, RI
(41.79609652960286, -71.41936444842268)",SUMTER ST,Front,Ginkgo biloba,3,2
"144 SUMTER ST
Providence, RI
(41.796038326514235, -71.41954943363582)",SUMTER ST,Front,Acer ginnala,3,1
"144 SUMTER ST
Providence, RI
(41.796038326514235, -71.41954943363582)",SUMTER ST,Front,Acer ginnala,3,2
"145 SUMTER ST
Providence, RI
(41.79611699262571, -71.41967856697096)",SUMTER ST,Front,Ginkgo biloba,3,1
"145 SUMTER ST
Providence, RI
(41.79611699262571, -71.41967856697096)",SUMTER ST,Front,Malus spp,3,2
"145 SUMTER ST
Providence, RI
(41.79611699262571, -71.41967856697096)",SUMTER ST,Front,Malus spp,3,3
"147 SUMTER ST
Providence, RI
(41.79609444963394, -71.41975112722574)",SUMTER ST,Front,Gymnocladus dioicus,3,1
"158 SUMTER ST
Providence, RI
(41.79588052548925, -71.42005735568499)",SUMTER ST,Front,Prunus cerasifera,3,1
"170 SUMTER ST
Providence, RI
(41.79574526743541, -71.4204927175458)",SUMTER ST,Front,Malus spp,3,1
"171 SUMTER ST
Providence, RI
(41.795823933567526, -71.42062185081451)",SUMTER ST,Front,Gymnocladus dioicus,3,1
"180 SUMTER ST
Providence, RI
(41.79563255241462, -71.42085551901899)",SUMTER ST,Front,Malus spp,3,1
"180 SUMTER ST
Providence, RI
(41.79563255241462, -71.42085551901899)",SUMTER ST,Front,Malus spp,3,2
